CurrentName,ShouldBe
Brigham Young,BYU
Miami (Fla.),Miami
Southern Methodist,SMU
Texas Christian,TCU
Miami FL,Miami
Miami OH,Miami Ohio
Miami (OH),Miami Ohio
Miami (Ohio),Miami Ohio
Miami University (Ohio),Miami Ohio
University of Miami (Florida),Miami
Miami (Florida),Miami
MI State,Michigan State
Central MI,Central Michigan
CO State,Colorado State
Eastern MI,Eastern Michigan
FL Atlantic,Florida Atlantic
LA Tech,Louisiana Tech
LA-Lafayette,Louisiana-Lafayette
LA-Monroe,Louisiana-Monroe
Middle Tenn.,Middle Tennessee
MS State,Mississippi State
NM State,New Mexico State
Northern IL,Northern Illinois
Oklahoma St,Oklahoma State
San Diego St,San Diego State
UNC,North Carolina
USC,South Carolina
Washington St,Washington State
Western MI,Western Michigan
Alabama at Birmingham,UAB
Louisiana,Louisiana-Lafayette
NIU,Northern Illinois
UMass,Massachusetts
USF,South Florida
UTSA,Texas-San Antonio
USC,Southern California
UCF,Central Florida
FIU,Florida International
UTEP,Texas-El Paso
UNLV,Nevada-Las Vegas
Southern Miss,Southern Mississippi
NC State,North Carolina State
