,Image,Stadium,City,State,Team,Conference,Capacity,Record1,Built,Expanded 2,Surface
0,,Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,"30,343[1]","32,993(September 26, 1998 vs. UTEP)[1]",1978[1],2005[1],S5-M Synthetic Turf
1,,Alamodome,San Antonio,TX,UTSA,C-USA,65000,"56,743(September 3, 2011 vs. Northeastern State)",1993,,SportField
2,,Alaska Airlines Field at Husky Stadium,Seattle,WA,Washington,Pac-12,"70,500[2]","76,125(September 23, 1995 vs. Army)",1920,2013,FieldTurf
3,,Albertsons Stadium,Boise,ID,Boise State,Mountain West,"36,387[3]","36,864(September 20, 2012 vs. BYU)[4]",1970[3],2012[3],Smurf Turf
4,,Allen E. Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,25000,"25,735(September 17, 2016 vs. Louisiana-Monroe)",1984,2014,Shaw Legion 41 Synthetic Turf
5,,Aloha Stadium,Honolulu,HI,Hawaiʻi,Mountain West,"50,000[5]","50,000(multiple times)",1975[5],2003[5],FieldTurf
6,,Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,"44,500[6]","44,500(multiple times)",1957[6],1995[6],AstroTurf
7,,Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,"45,000[7]","50,307(November 14, 2009 vs. Utah)[8]",1929[7],2012[7],Grass
8,,Apogee Stadium,Denton,TX,North Texas,C-USA,30850,"28,075(September 10, 2011 vs. Houston)[9]",2011,,PowerBlade Artificial Turf
9,,Arizona Stadium,Tucson,AZ,Arizona,Pac-12,"56,029[10]","59,920(November 23, 1996 vs. Arizona State)[11]",1928[10],1988[10],FieldTurf
10,,Arthur L. Williams Stadium,Lynchburg,VA,Liberty,Independent (2018),"25,000[12]","22,551(September 19, 2015 vs. Montana)[13]",1989[13],2018[12],FieldTurf
11,,Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,"60,055(October 15, 2011 vs. Arizona State)",1967,2002,FieldTurf
12,,Bagwell Field at Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,"50,000[14]","51,082(September 20, 2014 vs. North Carolina)",1963,2010,Tifton 419 Hybrid Bermuda
13,,BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,"37,623(November 13, 2004 vs. North Carolina)[15]",1968,2007,FieldTurf
14,,Beaver Stadium,University Park,PA,Penn State,Big Ten,"106,572[16]","110,889(September 30, 2018 vs. Ohio State University)[17]",1960,2001,Grass
15,,Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000,"30,000(September 8, 2014 vs. Georgia Tech)[18]",2014,,Act Global UBU Speed Series S5-M
16,,Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,"50,000[19]","53,811(November 11, 2000 vs. Nebraska)[20]",1968[20],2005[20],Synthetic Turf
17,,Blaik Field at Michie Stadium,West Point,NY,Army,Independent,"38,000[21]","42,765(October 2, 1971 vs. Missouri)",1924[21],2001[21],Field Turf
18,,Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,Florida State,ACC,"79,560[22]","84,409(November 2, 2013 vs. Miami (FL))[22]",1950[22],2003[22],Grass
19,,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,"55,000[23]","60,316(1973 vs. Georgia)[24]",1913[23],2003[23],Bermuda Grass
20,,Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,"60,218[25]","60,218(November 23, 2013 vs. Baylor)[25]",1919[25],2005[25],Astroturf 3D Decade
21,,Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,"23,595[26]","28,221(October 18, 2003 vs. Western Michigan)",1965[26],1995[26],FieldTurf
22,,Brooks Field at Wallace Wade Stadium,Durham,NC,Duke,ACC,"40,000[27]","57,500(November 19, 1949 vs. North Carolina)",1929[27],2016,Latitude 36 Bermuda Grass
23,,Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,20000,,2003,2018,FieldTurf
24,,Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,"101,821[28]","101,821(multiple times)",1929[28],2010[28],Grass
25,,Bulldog Stadium at Jim Sweeney Field,Fresno,CA,Fresno State,Mountain West,41031,"42,881(multiple times)[29]",1980[29],1992[29],FieldTurf
26,,Cajun Field,Lafayette,LA,Louisiana,Sun Belt,41426,"41,357(September 5, 2009 vs. Southern)[30]",1971[30],2015[30],ProGrass
